ShipAvg,customer_zip_code_prefix
Slow,2313
Standard,2314
Standard,2315
Slow,2316
Slow,2317
Slow,2318
Standard,2319
Slow,2320
"Very slow",2321
Slow,2322
"Very slow",2323
Slow,2324
Standard,2325
Standard,2328
Standard,2330
Standard,2332
Slow,2333
Standard,2334
Slow,2335
Slow,2336
Slow,2337
Slow,2338
Priority,2339
Standard,2340
Standard,2341
Slow,2342
Standard,2344
Standard,2345
Standard,2346
Standard,2347
Standard,2349
Slow,2350
Standard,2351
Standard,2352
Slow,2353
Standard,2354
Slow,2355
Slow,2356
Slow,2357
Slow,2358
Priority,2359
Standard,2360
Slow,2361
Slow,2362
"Very slow",2363
"Very slow",2365
Slow,2366
Slow,2367
"Very slow",2368
"Very slow",2370
Priority,2371
Standard,2372
Slow,2374
Standard,2375
Slow,2376
Standard,2377
"Very slow",2378
Standard,2401
Slow,2402
Standard,2403
Slow,2404
Standard,2405
Slow,2406
Standard,2407
Slow,2408
Standard,2409
Standard,2410
Slow,2411
Slow,2413
Standard,2415
Slow,2416
Standard,2417
"Very slow",2418
Standard,2419
Standard,2420
Standard,2421
Standard,2422
Slow,2423
Slow,2430
Standard,2431
Standard,2432
Slow,2433
Slow,2435
Standard,2436
Standard,2440
Standard,2441
Standard,2442
Slow,2443
Slow,2450
Standard,2451
Slow,2452
Slow,2460
Slow,2461
Slow,2462
Slow,2463
Slow,2464
Standard,2465
Standard,2466
Standard,2467
Standard,2468
Slow,2469
Standard,2470
Slow,2471
Standard,2472
Priority,2473
Standard,2474
Slow,2475
Slow,2478
Standard,2479
Slow,2510
Standard,2512
Standard,2513
Slow,2514
Priority,2515
Standard,2516
Standard,2517
Standard,2518
Priority,2519
Slow,2520
Standard,2521
Standard,2522
Slow,2523
Standard,2525
Slow,2526
Standard,2530
Standard,2531
Standard,2532
Standard,2533
Slow,2534
Standard,2535
Slow,2537
Priority,2538
Standard,2539
Slow,2540
Standard,2541
Slow,2542
Slow,2543
Standard,2545
Slow,2550
Standard,2551
Slow,2552
Slow,2553
Slow,2555
Slow,2556
Standard,2557
Slow,2558
Standard,2559
"Very slow",2560
Standard,2561
Standard,2562
Slow,2563
Slow,2564
Slow,2565
Slow,2566
Slow,2567
Priority,2610
Slow,2611
Slow,2612
Priority,2613
Slow,2614
Slow,2615
Slow,2616
Slow,2617
Standard,2618
Standard,2630
Standard,2631
Slow,2632
Priority,2633
Standard,2634
Priority,2635
Slow,2636
Standard,2637
"Very slow",2649
Slow,2650
Slow,2651
Slow,2652
Slow,2670
Slow,2671
"Very slow",2672
Standard,2673
Slow,2674
Slow,2680
"Very slow",2710
Standard,2712
Standard,2713
Standard,2714
Standard,2715
Slow,2717
Standard,2720
Standard,2721
Standard,2722
Slow,2723
Standard,2724
Standard,2725
Slow,2726
Standard,2728
Slow,2729
Slow,2730
Standard,2731
Slow,2732
Standard,2733
Standard,2734
Standard,2735
Standard,2736
Slow,2737
Slow,2738
Standard,2739
Priority,2750
Slow,2751
"Very slow",2752
Standard,2754
Standard,2756
"Very slow",2757
"Very slow",2758
Slow,2759
Slow,2762
Slow,2763
Standard,2764
Slow,2765
Standard,2801
Standard,2802
Slow,2803
Standard,2804
Slow,2805
Standard,2806
Slow,2807
Standard,2808
Slow,2809
Standard,2811
"Very slow",2813
Standard,2814
Standard,2815
Slow,2817
Slow,2820
Standard,2831
Standard,2834
Slow,2835
Slow,2836
"Very slow",2837
Slow,2839
Slow,2840
Slow,2841
Slow,2842
Slow,2844
"Very slow",2845
"Very slow",2846
"Very slow",2847
Slow,2848
"Very slow",2849
Priority,2850
Slow,2851
Standard,2853
Slow,2854
Slow,2855
Slow,2856
Slow,2857
Slow,2859
Slow,2860
"Very slow",2861
Slow,2862
Slow,2864
Slow,2866
Slow,2867
"Very slow",2870
"Very slow",2872
Slow,2873
Standard,2874
Slow,2875
Slow,2877
"Very slow",2879
Slow,2880
Slow,2881
Slow,2882
Slow,2883
Standard,2910
Standard,2911
Standard,2912
Standard,2913
Slow,2914
Slow,2915
Priority,2916
Priority,2917
"Very slow",2918
Standard,2919
Slow,2920
Slow,2925
Standard,2926
Slow,2927
Slow,2928
Slow,2929
Standard,2930
Standard,2931
Slow,2932
Standard,2934
Priority,2935
Standard,2936
Standard,2937
Slow,2938
Standard,2939
Standard,2940
"Very slow",2941
Slow,2942
Standard,2943
Slow,2944
Standard,2945
Standard,2951
Slow,2955
"Very slow",2957
Slow,2960
Standard,2961
Standard,2962
Standard,2963
Standard,2964
Slow,2965
Slow,2967
Standard,2968
Slow,2969
Slow,2970
Slow,2971
Slow,2972
Slow,2975
Standard,2976
Slow,2977
Slow,2978
Standard,2981
Standard,2984
Slow,2985
Slow,2987
Slow,2989
"Very slow",2990
Slow,2991
Slow,2992
Slow,2993
Slow,2995
Slow,2996
Slow,2998
Slow,3001
Priority,3003
Standard,3004
Slow,3005
Standard,3007
Slow,3008
Standard,3011
Slow,3012
Standard,3013
Standard,3014
Slow,3015
Slow,3016
Standard,3017
Priority,3018
Standard,3019
Slow,3021
Slow,3022
Standard,3023
Standard,3024
Slow,3025
Slow,3026
"Very slow",3027
Standard,3028
Slow,3029
Standard,3030
Standard,3032
Standard,3033
Slow,3034
Slow,3035
Slow,3040
Standard,3041
Priority,3042
Slow,3043
Priority,3044
Standard,3045
Standard,3046
Standard,3047
Slow,3050
Priority,3051
Priority,3052
Slow,3053
Standard,3054
Slow,3055
Standard,3057
Slow,3058
Standard,3059
Slow,3060
Standard,3061
Standard,3062
Slow,3063
Slow,3064
Slow,3065
Standard,3066
Standard,3067
Standard,3068
Slow,3069
Standard,3070
Standard,3071
Standard,3072
Slow,3073
Standard,3077
Slow,3080
Slow,3081
Standard,3084
Standard,3085
Slow,3086
Standard,3087
Slow,3088
Standard,3089
Slow,3090
Standard,3101
Slow,3102
Slow,3104
Standard,3105
Standard,3106
Standard,3107
Slow,3109
Slow,3110
Standard,3111
Standard,3112
Slow,3113
Standard,3114
Standard,3115
Standard,3116
Standard,3117
Standard,3118
Slow,3119
Slow,3120
Slow,3121
Standard,3122
Standard,3123
Standard,3124
Slow,3126
Standard,3127
Standard,3128
Standard,3129
Standard,3130
Slow,3131
Standard,3132
Slow,3133
Slow,3134
Standard,3136
Standard,3137
Slow,3138
Standard,3140
Standard,3141
Standard,3142
Standard,3143
Slow,3144
Slow,3145
Slow,3146
Slow,3147
Standard,3149
Standard,3150
Standard,3151
Slow,3152
Slow,3153
Slow,3154
Priority,3155
Slow,3156
Standard,3157
Standard,3158
Priority,3159
Slow,3160
"Very slow",3161
Standard,3162
Slow,3164
Standard,3165
Standard,3166
"Very slow",3167
Slow,3168
Slow,3169
Slow,3170
Slow,3171
Standard,3172
Priority,3173
Standard,3174
Slow,3175
Priority,3176
Slow,3177
Standard,3178
Slow,3179
Slow,3180
Slow,3181
Standard,3182
Slow,3183
Slow,3184
Standard,3185
Slow,3186
Standard,3187
Standard,3188
Slow,3189
Slow,3190
Slow,3191
"Very slow",3192
Slow,3193
Slow,3195
Slow,3201
Standard,3202
Slow,3203
Standard,3204
Slow,3205
Standard,3206
Standard,3207
Standard,3208
Standard,3209
Standard,3210
Slow,3211
Standard,3213
Slow,3215
Slow,3216
Standard,3220
Standard,3221
Slow,3222
Slow,3223
Standard,3224
Slow,3225
Standard,3226
Slow,3227
Slow,3236
Slow,3237
Standard,3238
Standard,3239
Slow,3240
Standard,3243
Slow,3244
Slow,3245
Standard,3249
Standard,3251
Slow,3253
Slow,3254
Standard,3256
Slow,3257
Standard,3258
Priority,3259
Standard,3260
Standard,3261
Standard,3262
Slow,3263
Standard,3264
Standard,3266
Standard,3267
Slow,3268
Standard,3269
Priority,3270
Slow,3271
Standard,3272
Slow,3273
Slow,3274
Slow,3275
Slow,3276
Slow,3277
Standard,3278
Standard,3279
Slow,3280
Priority,3281
Slow,3282
Slow,3283
Slow,3284
Standard,3286
Standard,3287
Standard,3288
Slow,3289
Slow,3294
Slow,3295
Standard,3303
Standard,3304
Slow,3306
Standard,3307
Standard,3308
Standard,3309
Slow,3310
Slow,3311
Standard,3312
Standard,3313
Standard,3314
Slow,3315
Slow,3316
Slow,3317
Slow,3318
Standard,3319
Standard,3320
Standard,3321
Slow,3322
Slow,3323
Standard,3324
Slow,3325
Priority,3330
Standard,3331
Standard,3332
Standard,3333
Standard,3334
Standard,3335
Standard,3336
Slow,3337
Standard,3340
Slow,3342
Standard,3343
Standard,3344
Slow,3345
Standard,3346
Standard,3347
Slow,3348
Slow,3349
Standard,3350
Priority,3351
Slow,3355
Standard,3356
Slow,3357
Slow,3358
Standard,3359
Slow,3360
Slow,3361
Standard,3362
Standard,3363
Standard,3364
Standard,3365
Slow,3366
Standard,3367
Standard,3370
Slow,3371
Standard,3372
Priority,3373
Standard,3374
Standard,3375
Standard,3376
Standard,3377
Slow,3378
Standard,3379
Slow,3380
Standard,3382
Slow,3383
Slow,3386
Standard,3387
Standard,3388
Standard,3389
Slow,3390
Standard,3401
Slow,3402
Standard,3403
Standard,3404
Priority,3405
Slow,3406
Standard,3407
Slow,3408
Slow,3409
Standard,3410
Standard,3411
Slow,3412
Slow,3413
Standard,3414
